Title,In P,Date,Type,Authors,Trainee,Publication,Series,Vol,Num,pp,Editors,Venue,Publisher,DOI,ISBN,URL,URL2,Abstract,Accolades,Commentary,year,month,monthname,bibtex_entrytype,bibtex_id
Artificial Nature,,2009/1,Conference,"Ji, Haru; Wakefield, Graham; ",,"Proceedings of the NSF Media Arts, Science and Technology Conference",,,,,,"Santa Barbara, USA",National Science Foundation,,,,,"Artificial Nature is a trans-disciplinary multimodal interactive art installation and a research subject investigating the application of bio-inspired system theories in the production of engaging aesthetic immersive worlds. As a creative ecosystem, three virtual strata - inanimate, animate, and behavioral - truly captivate the viewer through multi-sensory interactions by drawing (touch), singing (audio), dancing (movement, visual) and navigating (movement, touch).",,,2009,1,January,inproceedings,ji_2009_artificialnature
Artificial nature: fluid space,,2009/1,Conference,"Ji, Haru; Wakefield, Graham; ",,ACM SIGGRAPH ASIA 2009 Art Gallery & Emerging Technologies: Adaptation,,,,26-26,"Tomoe Moriyama, Stephanie Choo","Yokohama, Japan",ACM,10.1145/1665137.1665153,978-1-60558-878-0,,http://dx.doi.org/10.1145/1665137.1665153,,,,2009,1,January,inproceedings,ji_2009_artificialnaturefluidspace
Computational Composition and Creativity,,2009/1,Conference,"Smith, Wesley; Wakefield, Graham; ",,"Proceedings of the NSF Media Arts, Science and Technology Conference",,,,,,"Santa Barbara, USA",National Science Foundation,,,,,"Artificial Nature is a trans-disciplinary multimodal interactive art installation and a research subject investigating the application of bio-inspired system theories in the production of engaging aesthetic immersive worlds. As a creative ecosystem, three virtual strata - inanimate, animate, and behavioral - truly captivate the viewer through multi-sensory interactions by drawing (touch), singing (audio), dancing (movement, visual) and navigating (movement, touch).",,,2009,1,January,inproceedings,smith_2009_computationalcompositionandcreativity
Artificial nature: Immersive world making,,2009/4,Conference,"Wakefield, Graham; Ji, Haru; ",,Applications of Evolutionary Computing,Theoretical Computer Science and General Issues,5484,,597-602,Mario Giacobini et al.,,"Springer, Berlin, Heidelberg",10.1007/978-3-642-01129-0,978-3-642-01128-3,http://link.springer.com/chapter/10.1007%2F978-3-642-01129-0_68,http://dx.doi.org/10.1007/978-3-642-01129-0,"Artificial Nature is a trans-disciplinary research project drawing upon bio-inspired system theories in the production of engaging immersive worlds as art installations. Embodied world making and immersion are identified as key components in an exploration of creative ecosystems toward art-as-it-could-be. A detailed account of the design of a successfully exhibited creative ecosystem is given in these terms, and open questions are outlined.",,"EvoMusArt forms part of the EvoSTAR European Workshops on Applications of Evolutionary Computation. Our paper describes an ongoing research project drawing upon bio-inspired system theories in the production of engaging immersive worlds as art installations. Embodied world making and immersion are identified as key components in an exploration of creative ecosystems toward art-as-it-could-be, and a detailed account of the design of a successfully exhibited creative ecosystem is given in these terms.",2009,4,April,inproceedings,wakefield_2009_artificialnatureimmersiveworldmaking
Artificial Nature: Research and Development,,2009/7,Conference,"Ji, Haru; Wakefield, Graham; ",,The 2nd International Conference on Media Art and Information Aesthetics (MAIA),,,,,,"Beijing, China",CAFA Art Museum Beijing China,,,,,"Artificial Nature is a trans-disciplinary multimodal interactive art installation and a research subject investigating the application of bio-inspired system theories towards engaging aesthetic world-making. Our motivation is to develop a deeper understanding of emergence and creativity as a form of art, study and play, by taking inspiration from nature's creativity while recognizing the potential of natural creation beyond the known and the physical. In this paper we trace the progression of Artificial Nature from original inspirations through diverse prototypes to elaborate immersive installations.",,,2009,7,July,inproceedings,ji_2009_artificialnatureresearchanddevelopment
Machinic / Open,,2009/7,Chapter,"Wakefield, Graham",,Machine Dreams,,,,120-123,"Jeon, Byeong-Sam; Ji, Haru","Seoul, Korea",KoIAN,,978-89-963788-0-8,,,,,,2009,7,July,incollection,wakefield_2009_machinicopen
Augmenting Computer Music with Just-In-Time Compilation,,2009/8,Conference,"Smith, Wesley; Wakefield, Graham; ",,Proceedings of the International Computer Music Conference,,,,439-442,,"Montreal, Canada",ICMA,,,http://quod.lib.umich.edu/i/icmc/bbp2372.2009.100/-augmenting-computer-music-with-just-in-time-compilation?view=image&seq=1&size=100,,We discuss the potential of just-in-time compilation for computer music software to evade compromises of flexibility and efficiency due to the discrepencies between the respective natures of composition and computation and also to augment exploratory and generative capacity. We present a range of examples and approaches using LLVM compiler infrastructure within the LuaAV composition environment and measure its performance against static compilation.,,,2009,8,August,inproceedings,smith_2009_augmentingcomputermusicwithjustintimecompilation
"The Allobrain: An interactive, stereographic, 3D audio, immersive virtual world",,2009/11,Journal,"Thompson, John; Kuchera-Morin, JoAnn; Novak, Marcos; Overholt, Dan; Putnam, Lance; Wakefield, Graham; Smith, Wesley; ",,International Journal of Human-Computer Studies,,67,11,934-946,,,Elsevier,10.1016/j.ijhcs.2009.05.005,,http://www.sciencedirect.com/science/article/pii/S1071581909000688,http://dx.doi.org/10.1016/j.ijhcs.2009.05.005,"This paper describes the creation of the Allobrain project, an interactive, stereoscopic, 3D audio, immersive virtual world constructed from fMRI brain data and installed in the Allosphere, one of the largest virtual reality spaces in existence. This paper portrays the role the Allobrain project played as an artwork driving the technological infrastructure of the Allosphere. The construction of the Cosm toolkit software for prototyping the Allobrain and other interactive, stereographic, 3D audio, immersive virtual worlds in the Allosphere is described in detail. Aesthetic considerations of the Allobrain project are discussed in relation to world-making as a means to understand and explore large data sets.",,,2009,11,November,article,thompson_2009_theallobrainaninteractivestereographic3daudioimmersivevirtualworld
LuaAV: Extensibility and heterogeneity for audiovisual computing,,2010/5,Conference,"Wakefield, Graham; Smith, Wesley; Roberts, Charles; ",,Applied Sciences,,,,31-38,Maurits Lamers,"Utrecht, the Netherlands",Hogeschool voor de Kunsten,,,,,"We describe LuaAV, a runtime library and applica- tion which extends the Lua programming language to support computational composition of temporal, sound, visual, spatial and other elements. In this paper we document how we have attempted to maintain several core principles of Lua itself - extensibility, meta-mechanisms, efficiency, portabil- ity - while providing the flexibility and temporal accuracy demanded by interactive audio-visual media. Code generation is noted as a recurrent strategy for increasingly dynamic and extensible environments.",,,2010,5,May,inproceedings,wakefield_2010_luaavextensibilityandheterogeneityforaudiovisualcomputing
Dynamic Interactivity Inside the AlloSphere,,2010/6,Conference,"Roberts, Charles; Wright, Matthew; Kuchera-Morin, JoAnn; Putnam, Lance; Wakefield, Graham; ",,Proceedings of the International Conference on New Interfaces for Musical Expression,,,,57-62,,"Sydney, Australia",,,,http://www.nime.org/wp-publications/roberts2010/,http://www.nime.org/proceedings/2010/nime2010_057.pdf,"We present the Device Server, a framework and application driving interaction in the AlloSphere virtual reality environment. The motivation and development of the Device Server stems from the practical concerns of managing multi-user interactivity with a variety of physical devices for disparate performance and virtual reality environments housed in the same physical location. The interface of the Device Server allows users to see how devices are assigned to application functionalities, alter these assignments and save them into configuration files for later use. Configurations defining how applications use devices can be changed on the fly without recompiling or relaunching applications. Multiple applications can be connected to the Device Server concurrently. The Device Server provides several conveniences for performance environments. It can process control data efficiently using Just-In-Time compiled Lua expressions; in doing so it frees processing cycles on audio and video rendering computers. All control signals entering the Device Server can be recorded, saved, and played back allowing performances based on control data to be recreated in their entirety. The Device Server attempts to homogenize the ap- pearance of different control signals to applications so that users can assign any interface element they choose to application functionalities and easily experiment with different control configurations.",,,2010,6,June,inproceedings,roberts_2010_dynamicinteractivityinsidetheallosphere
Immersed in unfolding complex systems,,2010/6,Chapter,"Putnam, Lance; Wakefield, Graham; Ji, Haru; Alper, Basak; Adderton, Dennis; Kuchera-Morin, JoAnn; ",,Beautiful Visualization: Looking at Data through the Eyes of Experts,,,,291-310,"Julie Steele, Noah Iliinsky",,"O'Reilly Media, Inc.",,,http://shop.oreilly.com/product/0636920000617.do,,,,"A chapter for a popular book series focusing on visualization, describing work by the AlloSphere Research Group at the California NanoSystems Institute, UC Santa Barbara. My contributions included the opening sections of strategy and philosophy, as well as content and software design, followed by two sections describing specific application implementations. O’Reilly Media’s “Beautiful...” book series has been very successful and widely acclaimed.",2010,6,June,incollection,putnam_2010_immersedinunfoldingcomplexsystems
COSM: A toolkit for composing immersive audio-visual worlds of agency and autonomy.,,2011/8,Conference,"Wakefield, Graham; Smith, Wesley; ",,Proceedings of the International Computer Music Conference,,,,13-20,,"Huddersfield, United Kingdom",International Computer Music Association,,,http://quod.lib.umich.edu/i/icmc/bbp2372.2011.004/-cosm-a-toolkit-for-composing-immersive-audio-visual-worlds,http://quod.lib.umich.edu/i/icmc/bbp2372.2011.004/-cosm-a-toolkit-for-composing-immersive-audio-visual-worlds,"Spatial music can create immersive experiences of alter- nate realities. To what degree can this be expanded to the composition of immersive, navigable, audio-visual worlds? We present an integrated collection of exten- sions to the Max/MSP/Jitter environment to assist the tightly integrated construction of such worlds, designed for use within audio-visual virtual environments and other projects using spatial simulation. The perspective taken is that spatial composition can go beyond the specification of locations and trajectories to the composition of auton- omy, agency and interactions.",,,2011,8,August,inproceedings,wakefield_2011_cosmatoolkitforcomposingimmersiveaudiovisualworldsofagencyandautonomy
Time of Doubles,,2011/12,Conference,"Ji, Haru; Wakefield, Graham; ",,Proceedings of SIGGRAPH ASIA Art Gallery,,,,26-26,Rochelle Yang,Hong Kong,ACM,10.1145/2077355.2425799,978-1-4503-1133-5,,http://dx.doi.org/10.1145/2077355.2425799,"Time of Doubles' is an immersive interactive art installation. It invites visitors to experience mirror existences of themselves taking upon new roles as sources of energy and kinetic disturbance within a virtual ecosystem, a uniquely created computational world. Visitors encounter their doubles in a deep hyper space with 3D stereoscopic projection and 3D depth cameras. The immersive projection dissolves the illusion of a window to form an entryway into a shared, co-present world, and the volumetric sensors take the visitors beyond avatar-based representation to become embodied within a world of physical simulation. This world displays some familiar characteristics as our own, but is populated by unfamiliar life-forms swimming through the sensitive motions of dark fluids and singing continuously. The visitor doubles are energy fields which emanate myriad bright fluid particles, food sources which are eaten by the virtual organisms. Visitors hear, see and feel how they are fed to unknown species in the virtual ecosystem aesthetically. Without visitors, the world-fluid is filled with life seeds that cannot grow, but with a human presence the populations explode into alien orchestras. Larger organisms leave physical residues and films behind as they pass, which constrain the fluid flows and which can be sculpted by visitor doubles.",,,2011,12,December,inproceedings,ji_2011_timeofdoubles
Mobile Controls On-The-Fly: An Abstraction for Distributed NIMEs,,2012/5,Conference,"Roberts, Charles; Wakefield, Graham; Wright, Matthew; ",,Proceedings of the International Conference on New Interfaces for Musical Expression,,,,,,"Ann Arbor, Michigan",University of Michigan,,,http://www.nime.org/wp-publications/roberts2012/,http://www.nime.org/proceedings/2012/nime2012_303.pdf,"Designing mobile interfaces for computer-based musical performance is generally a time-consuming task that can be exasperating for performers. Instead of being able to experiment freely with physical interfaces' affordances, performers must spend time and attention on non-musical tasks including network configuration, development environments for the mobile devices, defining OSC address spaces, and handling the receipt of OSC in the environment that will control and produce sound. Our research seeks to overcome such obstacles by minimizing the code needed to both generate and read the output of interfaces on mobile devices. For iOS and Android devices, our implementation extends the application Control to use a simple set of OSC messages to define interfaces and automatically route output. On the desktop, our implementations in Max/MSP/Jitter, LuaAV, and Su-perCollider allow users to create mobile widgets mapped to sonic parameters with a single line of code. We believe the fluidity of our approach will encourage users to incorporate mobile devices into their everyday performance practice.",,,2012,5,May,inproceedings,roberts_2012_mobilecontrolsontheflyanabstractionfordistributednimes
Real-time meta-programming for interactive computational arts,,2012/9,PhD Thesis,"Wakefield, Graham; Roberts, Charlie; Wright, Matthew; Wood, Timothy; Yerkes, Karl; ",,,,,,,"Roads, Curtis; Kuchera-Morin, JoAnn; Novak, Marcos; Wright, Matthew","Santa Barbara, USA",University of California Santa Barbara,,,,,"In the interactive computer arts, any advance that significantly amplifies or extends the limits and capacities of software can enable genuinely novel aesthetic experiences. Within compute-intensive media arts, flexibility is often sacrificed for needs of efficiency, through the total separation of machine code optimization and run-time execution. Compromises based on modular run-time combinations of prior-optimized `black box' components confine results to a pre-defined palette with less computational efficiency overall: limiting the open-endedness of development environments and the generative scope of artworks. This dissertation demonstrates how the trade-off between flexibility and efficiency can be relaxed using reflective meta-programming and dynamic compilation: extending a pro- gram with new efficient routines while it runs. It promises benefits of more open- ended real-time systems, more complex algorithms, richer media, and ultimately unprecedented aesthetic experiences. The dissertation charts the significant differences that this approach implies for interactive computational arts, builds a conceptual framework of techniques and requirements to respond to its challenges, and documents supporting implementations in two specific scenarios. The first concentrates on open-ended creativity support within always-on authoring environments for studio work and live cod- ing performance, while the second concerns the open-endedness of generative art through interactive, immersive artificial-life worlds.",,"My doctoral research focused on run-time code generation and dynamic compilation for interactive computational arts.  Run-time code generation opens up a vast possibility space for execution flow, valuable both for creative sketching and authoring environments, as well as artificial life and other generative systems. Dynamic compilation can ensure the efficiency of generated code in real-time scenarios, however it has been hitherto only rarely utilized in computational arts. The theoretical framework presented in the first half of the dissertation is evaluated in the context of its application in authoring environments and interactive artworks. One such application is the Gen extension to Max/MSP/Jitter, which extends a well-known visual data-flow programming environment for audio to support efficient single-sample feedback, with novel capabilities for filter design, physical modeling etc. Gen was released as a commercial product in 2011 and has now tens of thousands of users, and has been the basis of several graduate-level courses (unrelated to the author). A second application integrates into the author’s “Time of Doubles” interactive artwork, in which populations of thousands of organisms continuously interact with users, metabolizing and reproducing on time-scales of seconds. Using code generation and dynamic compilation, each newly born organism embeds a uniquely generated, evolved piece of machine code, allowing a much greater space of behavior without compromising population size. This version of the artwork has been successfully exhibited at three international events since 2011. (Separate publications of the project contributions are in progress.)",2012,9,September,phdthesis,wakefield_2012_realtimemetaprogrammingforinteractivecomputationalarts
Virtual world-making in an interactive art installation: Time of doubles,,2012/11,Chapter,"Ji, Haru; Wakefield, G; ",,Virtual worlds,,,,53-70,"Stephan Bornhofen, Jean-Claude Heudin, Alain Lioret, Jean-Claude Torrel","Paris, France",Science eBook,,979-10-91245-06-7,http://www.science-ebook.fr/bonus/virtual_worlds_extrait.pdf,http://www.science-ebook.fr/bonus/virtual_worlds_extrait.pdf,"Time of Doubles is an immersive, interactive art installation, and an instantiation of contemporary art research on the creation of possible worlds. It invites visitors to experience mirror existences of themselves taking upon new roles as sources of energy and kinetic disturbance within a perpetually changing virtual ecosystem. This world displays some characteristics familiar from our own, but is populated by unfamiliar life forms singing, swimming, and breeding through sensitive motions of dark fluids. The visitors' doubles are energy fields, which emanate myriad bright fluid particles, food sources to be eaten by the virtual organisms. Visitors see, hear, and feel how they are fed to unknown species in this virtual ecosystem. The immersive multimodal environment and volumetric sensors take the visitors beyond avatar-based interaction to become embodied within a world of physical and biological activity. The installation has been presented in gallery settings and CAVE-like environments utilizing 3D depth cameras, stereographic display and surround audio. As an immersive audio-visual installation, it brings forth a world of aesthetic play through the embodiment of complex multi-layered and inter-modulating systems. In this paper, the artists describe Time of Doubles from its conceptual foundations, developmental process and installation construction.",Representative chapter.,,2012,11,November,incollection,ji_2012_virtualworldmakinginaninteractiveartinstallationtimeofdoubles
The Web Browser As Synthesizer And Interface,,2013/5,Conference,"Roberts, Charles; Wakefield, Graham; Wright, Matthew; ",,Proceedings of SIGGRAPH ASIA Art Gallery,,,,313-318,Kyogu Lee,"Daejeon, Republic of Korea","Graduate School of Culture Technology, KAIST",,,http://nime.org/proceedings/2013/nime2013_282.pdf,http://nime.org/proceedings/2013/nime2013_282.pdf,"Web technologies provide an incredible opportunity to present new musicalinterfaces to new audiences. Applications written in JavaScript and designed torun in the browser offer remarkable performance, mobile/desktop portability andlongevity due to standardization. Our research examines the use and potentialof native web technologies for musical expression. We introduce two libraries towards this end: Gibberish.js, a heavily optimized audio DSP library, and Interface.js, a GUI toolkit that works with mouse, touch and motion events.Together these libraries provide a complete system for defining musicalinstruments that can be used in both desktop and mobile browsers. Interface.jsalso enables control of remote synthesis applications by including an application that translates the socket protocol used by browsers into both MIDI and OSC messages.",Awarded best paper.,"NIME is the foremost conference for human-computer interaction in a musical context. NIME 2013 was notably marked by the increased interest and research using new web technologies for interactive audio synthesis, mobile device interaction, multi-user server apps and live-coding. Our paper presented results in all these areas through the gibberish.js and interface.js libraries, leveraging code generation to support optimized single-sample feedback, and automatic web interface generation. It was selected as best paper of the conference, was expanded in Computer Music Journal (MIT Press), and will be reprinted with additional commentary in The NIME Reader.",2013,5,May,inproceedings,roberts_2013_thewebbrowserassynthesizerandinterface
Becoming-There: Natural Presence in an Art of Artificial Ecologies,,2013/7,Conference,"Wakefield, Graham; Ji, Haru; ",,International Symposium on Ubiquitous Virtual Reality,,,,11-14,,"Daejeon, Republic of Korea",IEEE,10.1109/ISUVR.2013.14,978-0-7695-5084-8,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6597723,http://dx.doi.org/10.1109/ISUVR.2013.14,"A discussion of the theoretical perspectives on immersion, presence and agency in VR and HCI research, with a new application to large-scale interactive, generative artworks. The task-centric approach common to VR HCI research may be inappropriate to encompass the inclusivity and open-endedness of art experience; however several aspects of presence and agency ('being together', 'being able to do') are found to have direct relevance. A new mode of presence concerning our relationship with a simulated biological environment is proposed.",Keynote paper.,,2013,7,July,inproceedings,wakefield_2013_becomingtherenaturalpresenceinanartofartificialecologies
Spatial Interaction in a Multiuser Immersive Instrument,,2013/11,Journal,"Wakefield, Graham; Hollerer, Tobias; Kuchera-Morin, JoAnn; Roberts, Charles; Wright, Matthew; ",,IEEE Computer Graphics and Applications,,33,6,14-20,,,IEEE,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6682950,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6682950,The AlloSphere provides multiuser spatial interaction through a curved surround screen and surround sound. Two projects illustrate how researchers employed the AlloSphere to investigate the combined use of personal-device displays and the shared display. Another two projects combined multiuser interaction with multiagent systems. These projects point to directions for future ensemble-style collaborative interaction.,,,2013,11,November,article,wakefield_2013_spatialinteractioninamultiuserimmersiveinstrument
Immersive full-surround multi-user system design,,2014/5,Journal,"Kuchera-Morin, JoAnn; Wright, Matthew; Wakefield, Graham; Roberts, Charles; Adderton, Dennis; Sajadi, Behzad; Höllerer, Tobias; Majumder, Aditi; ",,Computers & Graphics,,40,,10-21,,,Pergamon,10.1016/j.cag.2013.12.004,,http://www.sciencedirect.com/science/article/pii/S0097849314000090,http://dx.doi.org/10.1016/j.cag.2013.12.004,"This paper describes our research in full-surround, multimodal, multi-user, immersive instrument design in a large VR instrument. The three-story instrument, designed for large-scale, multimodal representation of complex and potentially high-dimensional information, specifically focuses on multi-user participation by facilitating interdisciplinary teams of co-located researchers in exploring complex information through interactive visual and aural displays in a full-surround, immersive environment. We recently achieved several milestones in the instrument's design that improves multi-user participation when exploring complex data representations and scientific simulations. These milestones include affordances for 'ensemble-style' interaction allowing groups of participants to see, hear, and explore data as a team using our multi-user tracking and interaction systems; separate visual display modes for rectangular legacy content and for seamless surround-view stereoscopic projection using 4 high-resolution, high-lumen projectors with hardware warping and blending integrated with 22 small-footprint projectors placed above and below the instrument's walkway; and a 3D spatial audio system enabling a variety of sound spatialization techniques. These facilities can be accessed and controlled by a multimodal framework for authoring applications integrating visual, audio, and interactive elements. We report on the achieved instrument design.",,,2014,5,May,article,kuchera-morin_2014_immersivefullsurroundmultiusersystemdesign
