bibtex_entrytype,bibtex_id,status,title,author,editor,year,booktitle,publisher,abstract,commentary,generated_authorlist,generated_editorlist,month,journal,volume,generated_monthname,pages,DOI,URL,venue,number,trainee,voluome,BDSK-URL-1,ISBN,BDSK-URL-2,annote,address,school
"incollection","bahng2014poetry","","Poetry of Separation: The Aesthetics of Spatial Montage and Generative Editing for Multi-layered Screens","[object Object],[object Object],[object Object],[object Object],[object Object]","","2014","Arts and Technology","Springer International Publishing","`Poetry of Separation' is a media artwork that utilizes an algorithmic generative editing system, selecting shots in real-time to be rendered over four screens arranged in layers. Editing in cinema reconstructs images by montage, deriving meaning from the juxtaposition of multiple shots. Although multi-screen projections have been used to present sectional montages that stress the simultaneity of events, spatially separated screens can disrupt attentiveness and affective involvement; the layered architecture avoids disruptive fragmentation. The generative editing system selects shots for the layered screens stochastically, with authorial constraints and probabilities using pre-determined shot criteria. Narrative flow and authorial intents are not damaged due to these criteria, but nevertheless unexpected effects arose from the stochastic system. The authorial intentions of improvisation and separation in the film content of `Poetry of Separations' find resonance with the automatism of the generative editing system and multi-dimensionality of the screens.","","So Jung Bahng, Doo Won Yoo, Patrick Hutchings, Chung Kon Shi, Graham Wakefield","","5","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","145","May","61-68","10.1007/978-3-319-18836-2_8","http://link.springer.com/chapter/10.1007/978-3-319-18836-2_8","Fourth International Conference, ArtsIT, Istanbul, Turkey","","Bahng, So Jung and Hutchings, Patrick","","http://link.springer.com/chapter/10.1007/978-3-319-18836-2_8","978-3-319-18835-5","http://dx.doi.org/10.1007/978-3-319-18836-2_8","","",""
"article","wakefield2013spatial","","Spatial Interaction in a Multiuser Immersive Instrument","[object Object],[object Object],[object Object],[object Object],[object Object]","","2013","","IEEE Computer Society","The AlloSphere provides multiuser spatial interaction through a curved surround screen and surround sound. Two projects illustrate how researchers employed the AlloSphere to investigate the combined use of personal-device displays and the shared display. Another two projects combined multiuser interaction with multiagent systems. These projects point to directions for future ensemble-style collaborative interaction.","","Graham Wakefield, Tobias H&ouml;llerer, JoAnn Kuchera-Morin, Charles Roberts, Matthew Wright","","11","Computer Graphics and Applications","33","November","14-20","","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6682950","","6","","","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6682950","","","","",""
"inproceedings","wakefield2013becoming","","Becoming-There: Natural Presence in an Art of Artificial Ecologies","[object Object],[object Object]","","2013","International Symposium on Ubiquitous Virtual Reality","IEEE Computer Society","A discussion of the theoretical perspectives on immersion, presence and agency in VR and HCI research, with a new application to large-scale interactive, generative artworks. The task-centric approach common to VR HCI research may be inappropriate to encompass the inclusivity and open-endedness of art experience; however several aspects of presence and agency ('being together', 'being able to do') are found to have direct relevance. A new mode of presence concerning our relationship with a simulated biological environment is proposed.","","Graham Wakefield, Haru (Hyunkyung) Ji","","7","","","July","11-14","10.1109/ISUVR.2013.14","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6597723","Daejeon, Republic of Korea","","","","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6597723","978-0-7695-5084-8","http://dx.doi.org/10.1109/ISUVR.2013.14","Keynote paper.","",""
"inproceedings","roberts2013web","","The web browser as synthesizer and interface","[object Object],[object Object],[object Object]","[object Object]","2013","Proceedings of the International Conference on New Interfaces for Musical Expression","Graduate School of Culture Technology, KAIST","Web technologies provide an incredible opportunity to present new musicalinterfaces to new audiences. Applications written in JavaScript and designed torun in the browser offer remarkable performance, mobile/desktop portability andlongevity due to standardization. Our research examines the use and potentialof native web technologies for musical expression. We introduce two libraries towards this end: Gibberish.js, a heavily optimized audio DSP library, and Interface.js, a GUI toolkit that works with mouse, touch and motion events.Together these libraries provide a complete system for defining musicalinstruments that can be used in both desktop and mobile browsers. Interface.jsalso enables control of remote synthesis applications by including an application that translates the socket protocol used by browsers into both MIDI and OSC messages.","NIME is the foremost conference for human-computer interaction in a musical context. NIME 2013 was notably marked by the increased interest and research using new web technologies for interactive audio synthesis, mobile device interaction, multi-user server apps and live-coding. Our paper presented results in all these areas through the gibberish.js and interface.js libraries, leveraging code generation to support optimized single-sample feedback, and automatic web interface generation. It was selected as best paper of the conference, was expanded in Computer Music Journal (MIT Press), and will be reprinted with additional commentary in The NIME Reader.","Charles Roberts, Graham Wakefield, Matthew Wright","Kyogu Lee","5","","","May","313-318","","http://nime.org/proceedings/2013/nime2013_282.pdf","Daejeon, Republic of Korea","","","","http://nime.org/proceedings/2013/nime2013_282.pdf","","","Awarded best paper.","",""
"incollection","wakefield2012virtual","","Virtual World-Making in an Interactive Art Installation: Time of Doubles","[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]","2012","Virtual Worlds","Science eBook, Paris","Time of Doubles is an immersive, interactive art installation, and an instantiation of contemporary art research on the creation of possible worlds. It invites visitors to experience mirror existences of themselves taking upon new roles as sources of energy and kinetic disturbance within a perpetually changing virtual ecosystem. This world displays some characteristics familiar from our own, but is populated by unfamiliar life forms singing, swimming, and breeding through sensitive motions of dark fluids. The visitors' doubles are energy fields, which emanate myriad bright fluid particles, food sources to be eaten by the virtual organisms. Visitors see, hear, and feel how they are fed to unknown species in this virtual ecosystem. The immersive multimodal environment and volumetric sensors take the visitors beyond avatar-based interaction to become embodied within a world of physical and biological activity. The installation has been presented in gallery settings and CAVE-like environments utilizing 3D depth cameras, stereographic display and surround audio. As an immersive audio-visual installation, it brings forth a world of aesthetic play through the embodiment of complex multi-layered and inter-modulating systems. In this paper, the artists describe Time of Doubles from its conceptual foundations, developmental process and installation construction.","","Graham Wakefield, Haru (Hyunkyung) Ji","Stephan Bornhofen, Jean-Claude Heudin, Alain Lioret, Jean-Claude Torrel","11","","","November","","","http://www.science-ebook.fr/bonus/virtual_worlds_extrait.pdf","","","","","http://www.science-ebook.fr/bonus/virtual_worlds_extrait.pdf","979-10-91245-06-7","","Representative chapter.","",""
"phdthesis","wakefield2012phdthesis","","Real-Time Meta-Programming for Interactive Computational Arts","[object Object]","","2012","","","In the interactive computer arts, any advance that significantly amplifies or extends the limits and capacities of software can enable genuinely novel aesthetic experiences. Within compute-intensive media arts, flexibility is often sacrificed for needs of efficiency, through the total separation of machine code optimization and run-time execution. Compromises based on modular run-time combinations of prior-optimized `black box' components confine results to a pre-defined palette with less computational efficiency overall: limiting the open-endedness of development environments and the generative scope of artworks. This dissertation demonstrates how the trade-off between flexibility and efficiency can be relaxed using reflective meta-programming and dynamic compilation: extending a pro- gram with new efficient routines while it runs. It promises benefits of more open- ended real-time systems, more complex algorithms, richer media, and ultimately unprecedented aesthetic experiences. The dissertation charts the significant differences that this approach implies for interactive computational arts, builds a conceptual framework of techniques and requirements to respond to its challenges, and documents supporting implementations in two specific scenarios. The first concentrates on open-ended creativity support within always-on authoring environments for studio work and live cod- ing performance, while the second concerns the open-endedness of generative art through interactive, immersive artificial-life worlds.","My doctoral research focused on run-time code generation and dynamic compilation for interactive computational arts.  Run-time code generation opens up a vast possibility space for execution flow, valuable both for creative sketching and authoring environments, as well as artificial life and other generative systems. Dynamic compilation can ensure the efficiency of generated code in real-time scenarios, however it has been hitherto only rarely utilized in computational arts. The theoretical framework presented in the first half of the dissertation is evaluated in the context of its application in authoring environments and interactive artworks. One such application is the Gen extension to Max/MSP/Jitter, which extends a well-known visual data-flow programming environment for audio to support efficient single-sample feedback, with novel capabilities for filter design, physical modeling etc. Gen was released as a commercial product in 2011 and has now tens of thousands of users, and has been the basis of several graduate-level courses (unrelated to the author). A second application integrates into the author’s “Time of Doubles” interactive artwork, in which populations of thousands of organisms continuously interact with users, metabolizing and reproducing on time-scales of seconds. Using code generation and dynamic compilation, each newly born organism embeds a uniquely generated, evolved piece of machine code, allowing a much greater space of behavior without compromising population size. This version of the artwork has been successfully exhibited at three international events since 2011. (Separate publications of the project contributions are in progress.)","Graham Wakefield","","9","","","September","","","","","","","","","","","","Santa Barbara, USA","University of California Santa Barbara"
"inproceedings","roberts2012mobile","","Mobile Controls On-The-Fly: An Abstraction for Distributed NIMEs","[object Object],[object Object],[object Object]","","2012","Proceedings of the International Conference on New Interfaces for Musical Expression","University of Michigan","Designing mobile interfaces for computer-based musical performance is generally a time-consuming task that can be exasperating for performers. Instead of being able to experiment freely with physical interfaces' affordances, performers must spend time and attention on non-musical tasks including network configuration, development environments for the mobile devices, defining OSC address spaces, and handling the receipt of OSC in the environment that will control and produce sound. Our research seeks to overcome such obstacles by minimizing the code needed to both generate and read the output of interfaces on mobile devices. For iOS and Android devices, our implementation extends the application Control to use a simple set of OSC messages to define interfaces and automatically route output. On the desktop, our implementations in Max/MSP/Jitter, LuaAV, and Su-perCollider allow users to create mobile widgets mapped to sonic parameters with a single line of code. We believe the fluidity of our approach will encourage users to incorporate mobile devices into their everyday performance practice.","","Charles Roberts, Graham Wakefield, Matthew Wright","","","","","","","","http://www.nime.org/wp-publications/roberts2012/","Ann Arbor, Michigan","","","","http://www.nime.org/proceedings/2012/nime2012_303.pdf","","","","",""
"inproceedings","ji2011time","","Time of Doubles","[object Object],[object Object]","[object Object]","2011","Proceedings of SIGGRAPH ASIA Art Gallery","ACM","'Time of Doubles' is an immersive interactive art installation. It invites visitors to experience mirror existences of themselves taking upon new roles as sources of energy and kinetic disturbance within a virtual ecosystem, a uniquely created computational world. Visitors encounter their doubles in a deep hyper space with 3D stereoscopic projection and 3D depth cameras. The immersive projection dissolves the illusion of a window to form an entryway into a shared, co-present world, and the volumetric sensors take the visitors beyond avatar-based representation to become embodied within a world of physical simulation. This world displays some familiar characteristics as our own, but is populated by unfamiliar life-forms swimming through the sensitive motions of dark fluids and singing continuously. The visitor doubles are energy fields which emanate myriad bright fluid particles, food sources which are eaten by the virtual organisms. Visitors hear, see and feel how they are fed to unknown species in the virtual ecosystem aesthetically. Without visitors, the world-fluid is filled with life seeds that cannot grow, but with a human presence the populations explode into alien orchestras. Larger organisms leave physical residues and films behind as they pass, which constrain the fluid flows and which can be sculpted by visitor doubles.","","Haru (Hyunkyung) Ji, Graham Wakefield","Rochelle Yang","12","","","December","26-26","10.1145/2077355.2425799","","Hong Kong","","","","http://dx.doi.org/10.1145/2077355.2425799","978-1-4503-1133-5","","","",""
"inproceedings","wakefield2011cosm","","Cosm: A toolkit for composing immersive audio-visual worlds of agency and autonomy","[object Object],[object Object]","","2011","Proceedings of the International Computer Music Conference","ICMA","Spatial music can create immersive experiences of alter- nate realities. To what degree can this be expanded to the composition of immersive, navigable, audio-visual worlds? We present an integrated collection of exten- sions to the Max/MSP/Jitter environment to assist the tightly integrated construction of such worlds, designed for use within audio-visual virtual environments and other projects using spatial simulation. The perspective taken is that spatial composition can go beyond the specification of locations and trajectories to the composition of auton- omy, agency and interactions.","","Graham Wakefield, Wesley Smith","","7","","","July","13-20","","http://quod.lib.umich.edu/i/icmc/bbp2372.2011.004/-cosm-a-toolkit-for-composing-immersive-audio-visual-worlds","Huddersfield, UK","","","","http://quod.lib.umich.edu/i/icmc/bbp2372.2011.004/-cosm-a-toolkit-for-composing-immersive-audio-visual-worlds","","","","",""
"incollection","putnam2010immersed","","Immersed in Unfolding Complex Systems","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]","2010","Beautiful Visualization: Looking at Data through the Eyes of Experts","O'Reilly Media, Inc.","","A chapter for a popular book series focusing on visualization, describing work by the AlloSphere Research Group at the California NanoSystems Institute, UC Santa Barbara. My contributions included the opening sections of strategy and philosophy, as well as content and software design, followed by two sections describing specific application implementations. O’Reilly Media’s “Beautiful...” book series has been very successful and widely acclaimed.","Lance Putnam, Graham Wakefield, Haru (Hyunkyung) Ji, Basak Alper, Dennis Adderton, JoAnn Kuchera-Morin","Julie Steele, Noah Iliinsky","","","","","291-310","","http://shop.oreilly.com/product/0636920000617.do","","","","","","","","","",""
"inproceedings","roberts2010dynamic","","Dynamic Interactivity inside the AlloSphere","[object Object],[object Object],[object Object],[object Object],[object Object]","","2010","Proceedings of the International Conference on New Interfaces for Musical Expression (NIME)","","We present the Device Server, a framework and application driving interaction in the AlloSphere virtual reality environment. The motivation and development of the Device Server stems from the practical concerns of managing multi-user interactivity with a variety of physical devices for disparate performance and virtual reality environments housed in the same physical location. The interface of the Device Server allows users to see how devices are assigned to application functionalities, alter these assignments and save them into configuration files for later use. Configurations defining how applications use devices can be changed on the fly without recompiling or relaunching applications. Multiple applications can be connected to the Device Server concurrently. The Device Server provides several conveniences for performance environments. It can process control data efficiently using Just-In-Time compiled Lua expressions; in doing so it frees processing cycles on audio and video rendering computers. All control signals entering the Device Server can be recorded, saved, and played back allowing performances based on control data to be recreated in their entirety. The Device Server attempts to homogenize the ap- pearance of different control signals to applications so that users can assign any interface element they choose to application functionalities and easily experiment with different control configurations.","","Charles Roberts, Matthew Wright, JoAnn Kuchera-Morin, Lance Putnam, Graham Wakefield","","6","","","June","57-62","","http://www.nime.org/wp-publications/roberts2010/","Sydney, Australia","","","","http://www.nime.org/proceedings/2010/nime2010_057.pdf","","","","",""
